z,0,1,2,3,4,5,6,7,8,9
0,1.839397206,0.583659127,0.307889123,0.067207564,0.021339887,0.002613928,0.00044791,7.86E-06,7.00E-07,6.32E-09
10,2.88E-10,1.32E-12,8.28E-15,7.06E-17,2.23E-19,2.60E-22,4.13E-25,2.42E-28,1.93E-31,5.66E-35
20,6.13E-39,9.01E-43,4.88E-47,3.59E-51,9.72E-56,3.57E-60,4.83E-65,8.86E-70,5.98E-75,1.49E-80
30,5.02E-86,6.23E-92,1.05E-97,6.49E-104,1.48E-110,4.57E-117,1.91E-123,2.95E-130,1.67E-137,1.28E-144
40,3.63E-152,1.39E-159,1.96E-167,1.02E-175,7.14E-184,1.85E-192,6.46E-201,8.33E-210,1.45E-218,9.33E-228
50,2.20E-237,7.05E-247,3.05E-256,4.87E-266,2.86E-276,2.27E-286,6.63E-297,7.13E-308,1.037963e-318,0
60,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0
